Trace
Swept SA
A.02.06,N9010A
80149400,-65.3291973347704
80150000,-64.2508928112177
80150600,-64.2161054658396
80151200,-63.6408115427476
80151800,-62.601234762698
80152400,-63.4528493102926
80153000,-62.1430084868804
80153600,-61.9624340032429
80154200,-62.3494254774053
80154800,-61.5147539516304
80155400,-62.3092883264557
80156000,-61.4532926654564
80156600,-61.7614586242803
80157200,-61.0907568962148
80157800,-60.7070081631461
80158400,-60.515346884032
80159000,-60.7631583471653
80159600,-60.6181433297876
80160200,-60.0677444257059
80160800,-60.2731645739394
80161400,-60.2690338079685
80162000,-60.5548430273252
80162600,-60.4346048138913
80163200,-59.9684970494646
80163800,-59.5474848956385
80164400,-60.4932510315882
80165000,-60.4552671703135
80165600,-59.5064392555518
80166200,-60.2106249423915
80166800,-60.0879738823752
80167400,-59.5190125160547
80168000,-59.6516290762458
80168600,-59.5569783384068
80169200,-60.33817188714
80169800,-60.3698630228077
80170400,-60.2416029889108
80171000,-60.5737294962562
80171600,-60.7810996788567
80172200,-60.7890125911253
80172800,-60.8513934224109
80173400,-61.482160726422
80174000,-61.0280619139556
80174600,-61.1102848514283
80175200,-60.8290290530417
80175800,-61.1557386712809
80176400,-62.0873263944001
80177000,-62.3453254444062
80177600,-62.9322652707677
80178200,-62.5812460305134
80178800,-63.2660885876738
80179400,-63.6954208462361
80180000,-63.4350121012958
80180600,-64.3405397843355
80181200,-64.598723584207
80181800,-65.3719028912549
80182400,-65.6379611506214
80183000,-66.4644934299453
80183600,-66.2786415301587
80184200,-66.5639157144668
80184800,-67.5321175483653
80185400,-68.2037117580445
80186000,-68.0140788568335
80186600,-68.3888856647078
80187200,-68.8543018028893
80187800,-69.2219035578106
80188400,-69.4159575688047
80189000,-69.9482284316132
80189600,-70.2635271030526
80190200,-69.7013385044315
80190800,-70.2254287581685
80191400,-70.4882373639587
80192000,-69.8605831614348
80192600,-70.6855299911717
80193200,-69.0758710906379
80193800,-69.2332454773417
80194400,-69.8289891123329
80195000,-68.8015988440036
80195600,-68.0153804754365
80196200,-67.7834557881599
80196800,-67.368382345227
80197400,-67.2616077199406
80198000,-66.7200312753315
80198600,-66.3287533856178
80199200,-65.9155867885399
80199800,-65.2772613206337
80200400,-65.485934279316
80201000,-65.2049234249061
80201600,-64.9340975492952
80202200,-64.841274474711
80202800,-64.5114270857477
80203400,-64.6299960909763
80204000,-63.5290406797192
80204600,-64.2701715146618
80205200,-63.558975792937
80205800,-62.9826859704041
80206400,-63.9201576390978
80207000,-63.0746956223772
80207600,-63.5895663905917
80208200,-63.2841291344735
80208800,-62.5120241124792
80209400,-62.5275464407717
80210000,-62.692759744721
80210600,-62.7991886917597
80211200,-62.0696947708806
80211800,-62.0370971760521
80212400,-62.48384895607
80213000,-61.8771750985497
80213600,-62.0166819879541
80214200,-62.1684815935594
80214800,-62.1515177845773
80215400,-62.266041615159
80216000,-62.4626606244027
80216600,-62.7735550114379
80217200,-62.4355436892406
80217800,-63.0268138234902
80218400,-62.6158128418002
80219000,-62.5314093820674
80219600,-63.190156320016
80220200,-63.0992484052739
80220800,-63.1903024522021
80221400,-63.4602197751562
80222000,-63.6828336711949
80222600,-63.8478027377886
80223200,-63.9563879849671
80223800,-64.401913765694
80224400,-64.4169131892426
80225000,-64.9747240741014
80225600,-64.7790444758129
80226200,-65.1871096434196
80226800,-65.3702331108381
80227400,-65.7902991352409
80228000,-66.2885878635555
80228600,-67.3264783016405
80229200,-67.3734870484721
80229800,-67.7353131309218
80230400,-67.2540945578575
80231000,-68.4468027000085
80231600,-68.6265174285566
80232200,-69.8553554875805
80232800,-69.3199016524078
80233400,-69.5546540215865
80234000,-70.521516548988
80234600,-70.8749546109329
80235200,-71.4579050820835
80235800,-71.8000570110154
80236400,-72.0386307962222
80237000,-72.6087293543997
80237600,-72.6407201302677
80238200,-72.143556190814
80238800,-72.7376840570994
80239400,-72.0237233796983
80240000,-72.1301770161086
